payment_id,customer_id,amount,currency,payment_method,failure_reason,attempt_number,previous_successes,previous_failures,customer_avg_amount,transaction_time,hour,day_of_week,recovered,recovery_amount
pay_demo_000017,cust_0774,36550.57,INR,credit_card,authentication_failed,1,20,2,13423.95,2026-04-17T09:55:02.087499,9,4,0,0.0
pay_demo_000018,cust_0254,11389.93,INR,debit_card,bank_timeout,1,7,4,6996.41,2026-08-09T01:22:02.087517,1,6,1,9782.03
pay_demo_000019,cust_0070,45289.92,INR,debit_card,bank_timeout,1,8,5,14819.73,2026-04-11T19:16:02.087535,19,5,1,44851.84
pay_demo_000020,cust_0585,28895.34,INR,credit_card,card_declined,2,6,0,3359.46,2026-05-09T12:35:02.087555,12,5,0,0.0
pay_demo_000021,cust_0421,23457.83,INR,upi,authentication_failed,1,20,0,2288.07,2026-06-02T20:47:02.087588,20,1,1,20613.3
pay_demo_000022,cust_0550,22540.95,INR,netbanking,insufficient_funds,1,7,0,13572.36,2026-04-09T20:59:02.087609,20,3,0,0.0
pay_demo_000023,cust_0668,49964.27,INR,upi,bank_timeout,2,7,1,12489.21,2026-04-26T17:07:02.087629,17,6,0,0.0
pay_demo_000024,cust_0411,45141.65,INR,credit_card,card_declined,1,12,2,27832.28,2026-05-03T14:35:02.087650,14,6,0,0.0
pay_demo_000025,cust_0714,47874.42,INR,netbanking,insufficient_funds,1,6,0,17585.82,2026-04-11T22:15:02.087669,22,5,1,42945.3
pay_demo_000026,cust_0052,29292.04,INR,credit_card,bank_timeout,3,2,1,2521.38,2026-08-10T02:07:02.087688,2,0,1,25931.67
pay_demo_000027,cust_0123,47091.49,INR,credit_card,network_error,1,19,0,12867.14,2026-03-31T05:29:02.087707,5,1,1,42262.52
pay_demo_000028,cust_0268,10372.11,INR,debit_card,insufficient_funds,1,4,5,19542.27,2026-05-02T13:03:02.087727,13,5,1,9986.06
pay_demo_000029,cust_0075,663.91,INR,upi,bank_timeout,1,16,2,4407.47,2026-05-30T21:06:02.087754,21,5,1,588.65
pay_demo_000030,cust_0292,8055.79,INR,debit_card,network_error,3,20,4,730.78,2026-04-08T14:03:02.087776,14,2,1,7649.04
pay_demo_000031,cust_0962,43930.72,INR,debit_card,bank_timeout,2,17,1,8534.27,2026-03-26T17:17:02.087794,17,3,1,39600.56
pay_demo_000032,cust_0704,31785.05,INR,debit_card,network_error,1,1,0,19211.39,2026-06-18T23:02:02.087811,23,3,0,0.0
pay_demo_000033,cust_0342,38601.74,INR,debit_card,insufficient_funds,2,17,5,13116.76,2026-08-25T20:58:02.087831,20,1,1,38283.57
pay_demo_000034,cust_0708,45215.64,INR,upi,upi_failure,1,4,3,4259.64,2026-06-10T12:05:02.087849,12,2,0,0.0
pay_demo_000035,cust_0956,39846.89,INR,upi,upi_failure,1,7,5,3532.41,2026-04-06T10:23:02.087867,10,0,0,0.0
pay_demo_000036,cust_0768,7896.76,INR,credit_card,insufficient_funds,3,5,3,1231.2,2026-06-03T10:11:02.087884,10,2,1,7505.76
pay_demo_000037,cust_0753,40575.32,INR,debit_card,insufficient_funds,2,3,3,26228.92,2026-04-29T16:50:02.087905,16,2,0,0.0
pay_demo_000038,cust_0837,45938.9,INR,debit_card,upi_failure,2,7,1,1198.1,2026-07-09T11:41:02.087921,11,3,0,0.0
pay_demo_000039,cust_0286,43244.78,INR,debit_card,upi_failure,1,12,5,29443.92,2026-04-12T14:01:02.087939,14,6,1,37506.25
pay_demo_000040,cust_0994,13208.52,INR,debit_card,bank_timeout,1,13,2,21992.08,2026-06-08T10:24:02.087957,10,0,1,13177.29
pay_demo_000041,cust_0119,19382.73,INR,credit_card,upi_failure,1,13,0,15837.65,2026-04-12T02:16:02.087974,2,6,0,0.0
pay_demo_000042,cust_0963,37149.11,INR,credit_card,upi_failure,1,10,4,9760.51,2026-07-27T00:05:02.087990,0,0,1,33250.25
pay_demo_000043,cust_0317,33411.27,INR,debit_card,card_declined,1,17,1,6159.28,2026-03-10T11:19:02.088010,11,1,0,0.0
pay_demo_000044,cust_0767,45159.72,INR,debit_card,card_declined,1,0,2,8963.95,2026-05-09T05:24:02.088026,5,5,0,0.0
pay_demo_000045,cust_0671,16248.01,INR,netbanking,card_declined,1,16,3,23915.19,2026-07-15T02:57:02.088042,2,2,0,0.0
pay_demo_000046,cust_0291,25869.51,INR,debit_card,bank_timeout,2,7,5,9657.37,2026-07-08T20:01:02.088058,20,2,1,22168.41
pay_demo_000047,cust_0487,30641.44,INR,upi,card_declined,1,20,4,6235.84,2026-03-02T11:31:02.088075,11,0,1,27882.11
pay_demo_000048,cust_0152,32871.69,INR,upi,bank_timeout,2,7,1,24221.24,2026-03-02T07:33:02.088093,7,0,1,28188.55
pay_demo_000049,cust_0256,45890.01,INR,upi,card_declined,1,14,5,16168.39,2026-04-06T04:42:02.088109,4,0,0,0.0
pay_demo_000050,cust_0973,37811.45,INR,netbanking,network_error,2,16,3,25001.79,2026-04-09T09:05:02.088125,9,3,0,0.0
pay_demo_000051,cust_0163,37234.04,INR,netbanking,card_declined,1,7,5,8680.68,2026-04-16T08:22:02.088141,8,3,0,0.0
pay_demo_000052,cust_0245,13874.95,INR,upi,authentication_failed,1,8,2,9931.43,2026-04-11T21:54:02.088157,21,5,0,0.0
pay_demo_000053,cust_0155,11716.82,INR,credit_card,authentication_failed,1,13,3,10261.0,2026-04-30T10:59:02.088177,10,3,0,0.0
pay_demo_000054,cust_0212,41677.98,INR,netbanking,network_error,2,0,4,11721.24,2026-08-26T12:43:02.088195,12,2,1,40136.78
pay_demo_000055,cust_0874,44603.75,INR,netbanking,network_error,2,17,4,26985.43,2026-04-25T16:45:02.088212,16,5,0,0.0
pay_demo_000056,cust_0447,24384.97,INR,netbanking,upi_failure,1,12,5,5368.82,2026-04-30T19:23:02.088228,19,3,0,0.0
pay_demo_000057,cust_0547,1542.93,INR,netbanking,network_error,1,0,0,19461.11,2026-07-24T09:51:02.088244,9,4,1,1323.13
pay_demo_000058,cust_0389,16502.16,INR,netbanking,upi_failure,1,12,2,22684.29,2026-05-12T15:09:02.088262,15,1,1,14229.58
pay_demo_000059,cust_0020,37501.41,INR,upi,upi_failure,1,2,5,1687.62,2026-08-20T16:50:02.088285,16,3,1,36597.04
pay_demo_000060,cust_0637,7788.64,INR,credit_card,card_declined,1,18,1,14218.5,2026-06-23T12:52:02.088305,12,1,1,7328.21
pay_demo_000061,cust_0987,37446.7,INR,upi,insufficient_funds,3,3,4,1257.51,2026-06-09T05:19:02.088323,5,1,0,0.0
pay_demo_000062,cust_0930,47917.01,INR,netbanking,authentication_failed,1,18,5,25001.86,2026-06-26T20:18:02.088339,20,4,0,0.0
pay_demo_000063,cust_0792,15218.82,INR,upi,network_error,2,11,4,13137.15,2026-05-25T21:30:02.088357,21,0,1,14414.22
pay_demo_000064,cust_0013,42508.87,INR,netbanking,bank_timeout,1,11,5,26801.46,2026-05-02T01:53:02.088374,1,5,0,0.0
pay_demo_000065,cust_0446,8971.62,INR,debit_card,network_error,2,17,3,14213.78,2026-03-29T15:42:02.088398,15,6,0,0.0
pay_demo_000066,cust_0873,12425.66,INR,upi,upi_failure,2,7,3,17310.56,2026-03-09T11:41:02.088430,11,0,1,10615.3
pay_demo_000067,cust_0872,16385.71,INR,netbanking,insufficient_funds,1,8,2,8749.93,2026-03-28T01:06:02.088466,1,5,1,14606.88
pay_demo_000068,cust_0011,25928.04,INR,credit_card,bank_timeout,1,13,3,16877.7,2026-06-27T01:32:02.088522,1,5,1,24550.88
pay_demo_000069,cust_0503,22519.09,INR,upi,bank_timeout,1,12,5,7677.5,2026-03-11T05:39:02.088570,5,2,1,20739.84
pay_demo_000070,cust_0544,17319.12,INR,debit_card,upi_failure,2,8,2,7916.41,2026-07-28T00:50:02.088607,0,1,1,15541.0
pay_demo_000071,cust_0761,26886.03,INR,credit_card,insufficient_funds,1,15,2,21875.26,2026-04-15T04:44:02.088647,4,2,1,26807.43
pay_demo_000072,cust_0853,9867.06,INR,credit_card,upi_failure,1,0,5,16256.99,2026-06-18T22:59:02.088678,22,3,0,0.0
pay_demo_000073,cust_0567,14748.4,INR,credit_card,authentication_failed,2,15,0,26245.23,2026-04-03T14:32:02.088700,14,4,1,13595.18
pay_demo_000074,cust_0349,9381.31,INR,upi,upi_failure,2,15,0,24752.41,2026-05-17T08:58:02.088718,8,6,1,8786.1
pay_demo_000075,cust_0703,2869.73,INR,credit_card,network_error,2,2,1,3994.32,2026-05-13T04:24:02.088735,4,2,1,2779.65
pay_demo_000076,cust_0232,38829.54,INR,netbanking,card_declined,2,9,4,29705.92,2026-06-10T05:23:02.088753,5,2,0,0.0
pay_demo_000077,cust_0062,30559.62,INR,upi,insufficient_funds,1,8,5,2895.03,2026-06-27T18:27:02.088769,18,5,1,26319.77
pay_demo_000078,cust_0003,20544.18,INR,netbanking,upi_failure,1,9,5,8840.19,2026-05-03T21:19:02.088789,21,6,0,0.0
pay_demo_000079,cust_0240,46210.77,INR,credit_card,card_declined,1,7,5,4895.19,2026-06-20T19:58:02.088806,19,5,0,0.0
pay_demo_000080,cust_0062,8462.95,INR,debit_card,network_error,2,18,2,13455.03,2026-04-30T01:43:02.088822,1,3,1,8081.78
pay_demo_000081,cust_0966,13757.86,INR,netbanking,card_declined,1,1,3,22168.75,2026-03-26T16:01:02.088839,16,3,0,0.0
pay_demo_000082,cust_0094,11600.44,INR,upi,authentication_failed,2,18,0,23011.72,2026-07-14T08:29:02.088856,8,1,1,10994.04
pay_demo_000083,cust_0939,14052.2,INR,netbanking,authentication_failed,2,2,3,10764.85,2026-06-03T13:20:02.088879,13,2,0,0.0
pay_demo_000084,cust_0108,42915.11,INR,debit_card,card_declined,1,9,5,28383.21,2026-04-09T22:33:02.088895,22,3,0,0.0
pay_demo_000085,cust_0091,15862.95,INR,debit_card,bank_timeout,3,12,4,24835.35,2026-08-27T02:07:02.088911,2,3,0,0.0
pay_demo_000086,cust_0556,23206.42,INR,upi,insufficient_funds,1,19,3,18949.56,2026-08-14T17:45:02.088928,17,4,0,0.0
pay_demo_000087,cust_0563,6724.46,INR,debit_card,card_declined,2,15,0,1351.65,2026-03-19T04:11:02.088944,4,3,1,5957.16
pay_demo_000088,cust_0163,15675.36,INR,upi,network_error,1,7,0,14112.71,2026-07-28T03:09:02.088963,3,1,0,0.0
pay_demo_000089,cust_0158,25019.1,INR,debit_card,network_error,2,13,3,29417.22,2026-06-26T09:27:02.088981,9,4,1,21809.06
pay_demo_000090,cust_0196,46109.03,INR,credit_card,bank_timeout,1,13,2,28060.33,2026-04-20T15:10:02.088999,15,0,1,39210.42
pay_demo_000091,cust_0744,15068.08,INR,netbanking,insufficient_funds,1,15,2,10306.98,2026-04-10T11:33:02.089019,11,4,0,0.0
pay_demo_000092,cust_0956,16224.51,INR,credit_card,authentication_failed,1,12,1,25752.38,2026-05-14T22:42:02.089036,22,3,0,0.0
pay_demo_000093,cust_0763,23754.22,INR,netbanking,card_declined,3,20,1,15112.2,2026-08-18T19:30:02.089055,19,1,1,23630.77
pay_demo_000094,cust_0340,43511.08,INR,netbanking,bank_timeout,1,14,0,21812.09,2026-05-15T03:53:02.089073,3,4,0,0.0
pay_demo_000095,cust_0077,23580.63,INR,debit_card,upi_failure,1,12,5,2869.3,2026-06-04T02:08:02.089089,2,3,1,21931.01
pay_demo_000096,cust_0978,15969.73,INR,netbanking,network_error,1,2,1,19119.25,2026-06-15T16:15:02.089109,16,0,1,13790.77
pay_demo_000097,cust_0101,38066.41,INR,upi,card_declined,1,9,0,1856.73,2026-08-13T14:40:02.089129,14,3,0,0.0
pay_demo_000098,cust_0384,21648.2,INR,credit_card,network_error,1,5,1,5664.55,2026-03-24T11:23:02.089145,11,1,1,20619.27
pay_demo_000099,cust_0510,45658.88,INR,credit_card,insufficient_funds,1,8,3,8032.14,2026-08-25T09:05:02.089164,9,1,0,0.0
pay_demo_000100,cust_0295,33945.02,INR,credit_card,bank_timeout,1,11,4,9325.05,2026-05-11T01:46:02.089182,1,0,0,0.0
pay_demo_000101,cust_0468,42296.14,INR,credit_card,card_declined,2,3,1,11750.25,2026-05-28T05:44:02.089199,5,3,0,0.0
pay_demo_000102,cust_0717,14902.49,INR,netbanking,upi_failure,1,1,4,22482.58,2026-06-15T16:24:02.089216,16,0,0,0.0
pay_demo_000103,cust_0822,17745.58,INR,credit_card,network_error,1,4,5,3366.34,2026-03-20T04:00:02.089236,4,4,1,15906.07
pay_demo_000104,cust_0452,1861.55,INR,debit_card,authentication_failed,1,9,2,22550.69,2026-07-14T17:54:02.089254,17,1,1,1801.94
pay_demo_000105,cust_0898,48580.18,INR,debit_card,insufficient_funds,1,15,2,22523.5,2026-06-02T20:33:02.089273,20,1,0,0.0
pay_demo_000106,cust_0987,3949.91,INR,credit_card,authentication_failed,2,12,4,11290.36,2026-05-18T23:46:02.089291,23,0,0,0.0
pay_demo_000107,cust_0550,6354.72,INR,debit_card,authentication_failed,2,8,4,11740.25,2026-03-17T12:56:02.089313,12,1,0,0.0
pay_demo_000108,cust_0692,11844.33,INR,upi,network_error,2,17,2,27500.05,2026-07-02T03:58:02.089330,3,3,1,11196.57
pay_demo_000109,cust_0476,45487.5,INR,debit_card,authentication_failed,1,4,0,28414.72,2026-06-11T08:55:02.089350,8,3,1,39327.53
pay_demo_000110,cust_0909,26969.82,INR,netbanking,card_declined,1,17,3,17826.54,2026-07-19T10:21:02.089369,10,6,1,23324.94
pay_demo_000111,cust_0502,30859.48,INR,debit_card,bank_timeout,1,6,3,13618.53,2026-06-28T12:56:02.089387,12,6,0,0.0
pay_demo_000112,cust_0703,18493.28,INR,debit_card,bank_timeout,1,6,0,28495.82,2026-05-03T21:20:02.089405,21,6,0,0.0
pay_demo_000113,cust_0218,32156.88,INR,upi,bank_timeout,2,7,1,23715.85,2026-07-06T21:09:02.089426,21,0,1,31024.11
pay_demo_000114,cust_0213,29401.88,INR,credit_card,upi_failure,2,19,0,8679.61,2026-07-21T19:28:02.089445,19,1,0,0.0
pay_demo_000115,cust_0257,39965.99,INR,upi,authentication_failed,2,4,0,11068.15,2026-06-28T05:42:02.089464,5,6,0,0.0
pay_demo_000116,cust_0017,8877.46,INR,upi,insufficient_funds,2,16,0,22497.13,2026-04-28T09:13:02.089485,9,1,0,0.0
pay_demo_000117,cust_0371,25759.25,INR,upi,card_declined,1,19,0,21953.67,2026-03-12T07:43:02.089501,7,3,0,0.0
pay_demo_000118,cust_0470,32238.37,INR,upi,bank_timeout,3,12,3,20739.88,2026-04-24T01:04:02.089518,1,4,0,0.0
pay_demo_000119,cust_0455,3859.84,INR,upi,upi_failure,1,2,1,8612.97,2026-03-18T05:27:02.089534,5,2,0,0.0
pay_demo_000120,cust_0730,16394.24,INR,debit_card,card_declined,1,13,0,23896.33,2026-07-29T03:21:02.089550,3,2,0,0.0
pay_demo_000121,cust_0899,38494.34,INR,credit_card,card_declined,1,7,3,10498.48,2026-05-03T11:36:02.089567,11,6,0,0.0
pay_demo_000122,cust_0748,4935.27,INR,netbanking,upi_failure,1,11,1,20761.22,2026-04-28T21:57:02.089586,21,1,0,0.0
pay_demo_000123,cust_0852,4451.14,INR,netbanking,bank_timeout,2,11,1,16912.94,2026-03-30T06:27:02.089605,6,0,0,0.0
pay_demo_000124,cust_0338,33566.66,INR,netbanking,upi_failure,2,13,5,2017.66,2026-06-15T04:43:02.089621,4,0,0,0.0
pay_demo_000125,cust_0361,5359.31,INR,credit_card,insufficient_funds,1,7,0,10828.36,2026-04-07T12:55:02.089643,12,1,1,5168.47
pay_demo_000126,cust_0588,11462.72,INR,netbanking,network_error,3,19,4,20411.81,2026-04-07T23:24:02.089662,23,1,1,11340.79
pay_demo_000127,cust_0850,34734.87,INR,upi,insufficient_funds,1,9,2,10855.19,2026-07-12T19:26:02.089683,19,6,0,0.0
pay_demo_000128,cust_0674,20159.06,INR,credit_card,authentication_failed,1,0,0,22510.3,2026-07-03T11:36:02.089701,11,4,0,0.0
pay_demo_000129,cust_0465,17176.62,INR,debit_card,upi_failure,2,18,4,3006.23,2026-08-14T19:52:02.089722,19,4,0,0.0
pay_demo_000130,cust_0773,30968.34,INR,upi,upi_failure,1,13,3,18408.74,2026-05-13T15:49:02.089740,15,2,1,29829.99
pay_demo_000131,cust_0117,17389.61,INR,upi,upi_failure,1,18,3,16044.56,2026-06-10T22:48:02.089763,22,2,0,0.0
pay_demo_000132,cust_0405,49225.39,INR,upi,bank_timeout,1,6,1,23042.75,2026-06-14T13:55:02.089782,13,6,1,41898.66
pay_demo_000133,cust_0765,21646.62,INR,credit_card,card_declined,1,7,4,16982.35,2026-03-09T12:58:02.089802,12,0,0,0.0
pay_demo_000134,cust_0407,43115.87,INR,upi,card_declined,1,2,2,17484.9,2026-04-03T11:17:02.089820,11,4,1,40788.53
pay_demo_000135,cust_0297,5935.63,INR,upi,upi_failure,1,19,3,25044.76,2026-05-27T21:35:02.089837,21,2,1,5797.17
pay_demo_000136,cust_0250,21896.69,INR,netbanking,network_error,1,9,5,10515.64,2026-06-03T18:58:02.089856,18,2,0,0.0
pay_demo_000137,cust_0523,31734.59,INR,credit_card,upi_failure,1,20,1,7469.93,2026-07-21T15:50:02.089873,15,1,1,27800.29
pay_demo_000138,cust_0157,38058.72,INR,upi,insufficient_funds,3,20,3,14186.62,2026-04-05T05:34:02.089890,5,6,0,0.0
pay_demo_000139,cust_0698,46222.88,INR,debit_card,authentication_failed,1,14,0,14333.17,2026-03-19T14:12:02.089906,14,3,0,0.0
pay_demo_000140,cust_0282,29652.7,INR,debit_card,network_error,1,14,3,1609.41,2026-05-25T14:58:02.089922,14,0,1,28072.21
pay_demo_000141,cust_0876,4696.77,INR,netbanking,card_declined,1,1,3,27316.97,2026-04-03T03:50:02.089943,3,4,0,0.0
pay_demo_000142,cust_0330,30329.29,INR,credit_card,bank_timeout,1,10,5,2987.71,2026-03-15T19:00:02.089960,19,6,0,0.0
pay_demo_000143,cust_0254,35439.56,INR,netbanking,network_error,1,5,2,11499.13,2026-06-16T11:36:02.089978,11,1,0,0.0
pay_demo_000144,cust_0794,17050.68,INR,upi,authentication_failed,1,2,2,3287.93,2026-03-07T11:44:02.089995,11,5,1,15137.58
pay_demo_000145,cust_0873,32896.89,INR,credit_card,upi_failure,1,4,2,9651.84,2026-03-13T01:20:02.090012,1,4,1,29896.49
pay_demo_000146,cust_0610,35499.93,INR,upi,upi_failure,1,20,2,24488.95,2026-03-09T01:09:02.090030,1,0,0,0.0
pay_demo_000147,cust_0970,36990.98,INR,upi,authentication_failed,1,16,2,1037.8,2026-06-09T18:49:02.090046,18,1,1,33338.49
pay_demo_000148,cust_0785,24416.29,INR,credit_card,insufficient_funds,1,9,0,15476.85,2026-04-11T00:06:02.090063,0,5,1,22682.24
pay_demo_000149,cust_0678,16970.87,INR,credit_card,network_error,1,5,1,25024.68,2026-03-21T18:16:02.090082,18,5,1,15539.39
pay_demo_000150,cust_0421,18342.11,INR,credit_card,card_declined,1,14,1,16253.33,2026-06-09T08:05:02.090101,8,1,0,0.0
pay_demo_000151,cust_0856,9862.01,INR,netbanking,card_declined,2,12,4,16060.06,2026-07-17T17:11:02.090121,17,4,0,0.0
pay_demo_000152,cust_0620,7092.25,INR,debit_card,bank_timeout,1,11,4,28061.66,2026-04-17T20:44:02.090140,20,4,1,6117.64
pay_demo_000153,cust_0165,13785.01,INR,credit_card,card_declined,1,7,3,26596.58,2026-08-21T10:59:02.090160,10,4,1,12537.03
pay_demo_000154,cust_0383,11941.75,INR,upi,upi_failure,1,10,0,25255.7,2026-03-14T13:12:02.090177,13,5,1,10412.1
pay_demo_000155,cust_0040,14486.59,INR,netbanking,authentication_failed,2,15,3,18652.77,2026-08-07T23:46:02.090193,23,4,1,12782.22
pay_demo_000156,cust_0154,27530.45,INR,netbanking,bank_timeout,2,7,2,4094.53,2026-06-27T10:22:02.090211,10,5,1,26679.34
pay_demo_000157,cust_0469,3327.8,INR,netbanking,network_error,1,20,4,17463.9,2026-07-22T14:35:02.090227,14,2,1,2829.41
pay_demo_000158,cust_0362,12180.1,INR,netbanking,insufficient_funds,1,2,4,29252.31,2026-08-10T07:28:02.090244,7,0,1,11279.98
pay_demo_000159,cust_0520,27796.77,INR,netbanking,card_declined,1,12,2,7982.68,2026-08-23T12:12:02.090261,12,6,1,23908.95
pay_demo_000160,cust_0247,36700.46,INR,upi,network_error,2,10,1,1807.9,2026-04-10T13:10:02.090278,13,4,1,34734.03
pay_demo_000161,cust_0851,39001.3,INR,netbanking,authentication_failed,1,5,1,2361.47,2026-05-02T22:44:02.090294,22,5,0,0.0
pay_demo_000162,cust_0207,2381.55,INR,credit_card,bank_timeout,1,9,4,12247.61,2026-04-10T08:46:02.090311,8,4,1,2037.4
pay_demo_000163,cust_0663,9716.95,INR,debit_card,bank_timeout,2,10,2,4172.01,2026-05-25T10:06:02.090329,10,0,1,8842.46
pay_demo_000164,cust_0451,44752.95,INR,netbanking,upi_failure,3,15,5,15176.94,2026-04-17T15:11:02.090347,15,4,0,0.0
pay_demo_000165,cust_0085,36408.65,INR,upi,card_declined,1,5,4,9166.11,2026-08-01T21:42:02.090362,21,5,1,34556.83
pay_demo_000166,cust_0314,22406.61,INR,netbanking,insufficient_funds,1,11,3,1749.48,2026-05-29T04:35:02.090379,4,4,0,0.0
pay_demo_000167,cust_0282,32045.57,INR,upi,bank_timeout,1,12,2,15636.04,2026-03-07T19:01:02.090395,19,5,0,0.0
pay_demo_000168,cust_0147,42463.73,INR,netbanking,bank_timeout,1,7,5,11306.69,2026-05-21T06:00:02.090411,6,3,0,0.0
pay_demo_000169,cust_0620,7841.22,INR,netbanking,upi_failure,1,2,4,4562.01,2026-05-26T11:42:02.090427,11,1,1,7429.04
pay_demo_000170,cust_0256,48033.9,INR,upi,authentication_failed,1,16,3,27449.5,2026-07-28T15:13:02.090447,15,1,0,0.0
pay_demo_000171,cust_0267,35261.08,INR,credit_card,network_error,1,15,1,4117.8,2026-08-09T09:51:02.090463,9,6,0,0.0
pay_demo_000172,cust_0921,35725.82,INR,upi,authentication_failed,3,10,5,10749.05,2026-08-11T06:28:02.090479,6,1,0,0.0
pay_demo_000173,cust_0298,44588.32,INR,credit_card,authentication_failed,2,20,1,23914.04,2026-04-19T16:55:02.090512,16,6,1,44488.88
pay_demo_000174,cust_0812,7116.07,INR,netbanking,bank_timeout,1,18,2,14288.47,2026-04-08T19:23:02.090531,19,2,1,6992.51
pay_demo_000175,cust_0068,15602.68,INR,netbanking,network_error,1,13,4,2675.65,2026-06-07T03:58:02.090550,3,6,1,14315.4
pay_demo_000176,cust_0697,25964.53,INR,credit_card,network_error,1,5,1,13262.24,2026-08-13T20:29:02.090567,20,3,1,22665.8
pay_demo_000177,cust_0169,8265.95,INR,credit_card,upi_failure,2,16,2,25455.04,2026-06-24T17:22:02.090587,17,2,0,0.0
pay_demo_000178,cust_0980,27631.9,INR,credit_card,authentication_failed,1,17,0,15325.91,2026-07-15T05:25:02.090602,5,2,0,0.0
pay_demo_000179,cust_0158,8725.79,INR,debit_card,network_error,1,0,0,1841.12,2026-03-16T05:46:02.090619,5,0,0,0.0
pay_demo_000180,cust_0667,10698.26,INR,netbanking,network_error,1,15,5,16594.54,2026-03-16T14:32:02.090638,14,0,0,0.0
pay_demo_000181,cust_0251,40273.47,INR,netbanking,upi_failure,1,1,1,13468.36,2026-04-26T09:49:02.090655,9,6,1,36287.56
pay_demo_000182,cust_0148,15766.61,INR,debit_card,authentication_failed,3,11,3,4357.6,2026-05-25T07:27:02.090674,7,0,0,0.0
pay_demo_000183,cust_0109,16091.97,INR,netbanking,bank_timeout,1,7,1,3355.94,2026-06-14T11:07:02.090695,11,6,0,0.0
pay_demo_000184,cust_0631,21023.11,INR,credit_card,upi_failure,2,10,1,23012.08,2026-04-22T07:33:02.090711,7,2,1,19442.47
pay_demo_000185,cust_0316,24969.04,INR,upi,card_declined,1,7,1,17708.65,2026-08-15T22:44:02.090728,22,5,1,23077.24
pay_demo_000186,cust_0904,42173.91,INR,netbanking,upi_failure,1,3,3,4451.08,2026-06-21T00:39:02.090747,0,6,0,0.0
pay_demo_000187,cust_0783,20282.05,INR,upi,card_declined,1,17,1,11194.45,2026-06-15T21:38:02.090763,21,0,1,18773.84
pay_demo_000188,cust_0783,27582.88,INR,upi,insufficient_funds,3,12,2,23949.47,2026-06-02T06:39:02.090780,6,1,0,0.0
pay_demo_000189,cust_0774,7384.51,INR,netbanking,network_error,1,1,1,21550.96,2026-04-28T07:33:02.090798,7,1,0,0.0
pay_demo_000190,cust_0153,30391.77,INR,credit_card,upi_failure,2,10,1,12092.16,2026-03-23T00:09:02.090814,0,0,0,0.0
pay_demo_000191,cust_0307,29767.49,INR,netbanking,authentication_failed,1,15,0,11366.56,2026-03-08T20:36:02.090830,20,6,1,27908.67
pay_demo_000192,cust_0816,44958.6,INR,upi,network_error,1,20,4,17540.21,2026-08-14T05:32:02.090850,5,4,1,39364.71
pay_demo_000193,cust_0645,36114.91,INR,netbanking,insufficient_funds,2,7,0,17390.82,2026-03-01T20:50:02.090869,20,6,0,0.0
pay_demo_000194,cust_0020,22163.72,INR,netbanking,insufficient_funds,1,6,3,15303.68,2026-03-24T08:07:02.090887,8,1,0,0.0
